Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
20	9.062586	19.711432	71.92352	0.17730924	9.062586	19.711432	71.92352	0.17730924	32.98798	16.306278	62.43309	8.092418	4199	55.27686023712158
40	60.046246	37.27041	153.05833	6.4741287	60.046246	37.27041	153.05833	6.4741287	62.78189	43.08098	122.874626	11.719943	8199	101.64918637275696
60	105.51339	45.18259	176.43036	21.470524	105.51339	45.18259	176.43036	21.470524	56.97851	29.488676	121.38301	38.38041	12199	147.09348797798157
80	130.47633	33.862858	173.7559	49.12082	130.47633	33.862858	173.7559	49.12082	174.80525	22.477098	198.76193	135.7164	16199	193.26771521568298
100	156.99797	15.1864805	175.87047	113.016556	156.99797	15.1864805	175.87047	113.016556	146.34523	5.828558	156.17084	138.74007	20199	239.48888421058655
120	159.18147	13.841251	179.79364	123.75189	159.18147	13.841251	179.79364	123.75189	133.36784	14.723709	152.48633	106.12159	24199	285.9122290611267
140	165.61153	10.431463	178.46428	138.23795	165.61153	10.431463	178.46428	138.23795	129.52513	7.3155913	143.57043	120.42657	28199	332.0963113307953
160	166.16248	11.769368	180.81076	137.71329	166.16248	11.769368	180.81076	137.71329	164.00633	12.059305	175.1305	138.90932	32199	378.4492292404175
180	168.78766	4.4654775	177.02562	162.27386	168.78766	4.4654775	177.02562	162.27386	185.61116	6.9938664	197.21767	177.22719	36199	425.4128108024597
200	168.30832	7.715485	180.39725	143.69543	168.30832	7.715485	180.39725	143.69543	161.2418	7.304953	169.60602	148.33882	40199	471.4609305858612
220	168.99594	7.2495823	178.22073	147.67691	168.99594	7.2495823	178.22073	147.67691	160.58742	5.072518	166.899	152.52853	44199	517.9710304737091
240	169.84595	8.636388	180.54611	142.07231	169.84595	8.636388	180.54611	142.07231	179.87494	8.4765835	193.19447	168.11249	48199	564.5251445770264
260	164.43864	8.814329	173.99913	142.39476	164.43864	8.814329	173.99913	142.39476	191.66982	4.0652747	197.05008	186.86394	52199	611.0154314041138
280	168.06053	5.8218126	176.62987	152.2371	168.06053	5.8218126	176.62987	152.2371	167.60974	6.259354	178.60876	158.81404	56199	656.8958361148834
300	170.5587	6.872898	179.4504	150.43016	170.5587	6.872898	179.4504	150.43016	184.2273	3.6035395	189.40567	177.94588	60199	703.4142141342163
320	169.96233	4.9703355	178.0763	159.57224	169.96233	4.9703355	178.0763	159.57224	169.29504	10.286691	180.14905	150.76463	64199	749.9480476379395
340	170.45506	5.102314	177.7464	159.77583	170.45506	5.102314	177.7464	159.77583	138.55626	5.1817102	146.25124	128.94838	68199	796.9543282985687
360	169.2606	7.7641616	180.40233	153.64865	169.2606	7.7641616	180.40233	153.64865	195.08879	0.5654775	195.61057	194.12445	72199	843.161187171936
380	171.90254	6.731325	182.52502	157.81766	171.90254	6.731325	182.52502	157.81766	141.97311	4.562907	147.15071	135.87303	76199	889.023220539093
400	171.98692	5.8944006	181.51117	154.69049	171.98692	5.8944006	181.51117	154.69049	142.96135	1.7880737	144.5983	139.33517	80199	935.5909953117371
420	169.0812	9.773646	179.91927	138.91376	169.0812	9.773646	179.91927	138.91376	181.94402	7.344256	195.49008	170.3877	84199	981.6833372116089
440	167.98666	6.789282	176.90727	149.5355	167.98666	6.789282	176.90727	149.5355	173.00047	2.4755473	175.28075	167.83662	88199	1027.6194121837616
460	170.43015	7.437934	179.09874	150.1928	170.43015	7.437934	179.09874	150.1928	175.0962	9.132112	183.02109	155.84819	92199	1073.9336643218994
480	173.33728	4.571867	180.80882	163.05544	173.33728	4.571867	180.80882	163.05544	148.87392	2.2955434	152.55893	146.02011	96199	1120.498680114746
