Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.0	-49.0	-50.0	-1.2711165	1.8001701	0.7874409	-12.563838	-1.2709893	0.0	2500	25.63520312309265
1	-48.24	-48.24	-45.0	-2.1605563	4.0371947	0.991364	-21.842752	-2.160292	0.1	5000	59.12880325317383
2	-47.0	-47.0	-50.0	-3.1262853	6.34658	1.8068317	-38.845005	-3.1263099	0.0	7500	94.40780878067017
3	-50.0	-50.0	-45.0	-4.1191225	8.358962	0.9814947	-45.84305	-4.118841	0.1	10000	130.07134556770325
4	-50.0	-50.0	-50.0	-5.009753	10.122694	2.3588016	-49.75585	-5.0095005	0.0	12500	164.97131252288818
5	-48.28	-48.28	-50.0	-5.696044	11.511386	1.145305	-49.980732	-5.6959524	0.0	15000	200.60144066810608
6	-49.0	-49.0	-49.4	-6.2961626	12.715332	7.2734995	-60.534523	-6.2963023	0.0	17500	236.7632441520691
7	-50.0	-50.0	-45.0	-6.842939	13.7516985	2.8128455	-54.280838	-6.8428273	0.1	20000	271.53011751174927
8	-43.26	-43.26	-50.0	-7.2188187	14.540736	4.4130244	-55.02129	-7.2187214	0.0	22500	306.34863686561584
9	-49.0	-49.0	-50.0	-7.470791	15.16172	2.406598	-53.462948	-7.470436	0.0	25000	344.1544737815857
10	-46.16	-46.16	-50.0	-7.7855744	15.83067	3.0481758	-54.889683	-7.7855473	0.0	27500	381.44587326049805
11	-49.0	-49.0	-45.0	-8.016336	16.309961	8.556455	-56.75473	-8.016478	0.1	30000	418.6103594303131
12	-46.78	-46.78	-50.0	-8.171514	16.637356	2.4163215	-59.61386	-8.1713	0.0	32500	453.9810335636139
13	-48.0	-48.0	-44.5	-8.299002	16.898296	2.6363387	-57.516655	-8.299042	0.1	35000	489.6806492805481
14	-47.04	-47.04	-50.0	-8.330988	17.011515	3.2375083	-58.19738	-8.331006	0.0	37500	524.9634027481079
15	-48.0	-48.0	-45.0	-8.519335	17.276005	2.4579942	-61.59665	-8.519373	0.1	40000	560.5646526813507
16	-47.0	-47.0	-50.0	-8.610011	17.4232	2.5625541	-58.634575	-8.610143	0.0	42500	595.0142021179199
17	-49.0	-49.0	-50.0	-8.759811	17.603668	3.4828508	-60.723225	-8.759898	0.0	45000	630.2873027324677
18	-48.0	-48.0	-50.0	-8.759305	17.697319	3.0064092	-60.51076	-8.759519	0.0	47500	665.9051198959351
19	-49.0	-49.0	-50.0	-8.807135	17.786379	4.4888005	-66.305336	-8.807427	0.0	50000	701.6522839069366
20	-47.0	-47.0	-50.0	-8.938225	17.957993	2.945404	-64.75184	-8.938312	0.0	52500	736.4131968021393
21	-48.0	-48.0	-50.0	-9.072433	18.100204	3.8735926	-59.56543	-9.072834	0.0	55000	771.6315412521362
22	-49.52	-49.52	-40.0	-9.03627	18.05909	2.9506297	-67.31871	-9.037295	0.2	57500	807.4948420524597
23	-48.0	-48.0	-45.0	-9.094217	18.087776	2.815191	-61.930153	-9.094695	0.1	60000	843.4953260421753
24	-48.0	-48.0	-50.0	-9.111643	18.1229	4.2403345	-63.963898	-9.111687	0.0	62500	879.1002035140991
25	-49.44	-49.44	-45.0	-9.091688	18.042366	4.332786	-59.28028	-9.09162	0.1	65000	914.0153694152832
26	-49.0	-49.0	-47.6	-9.143108	18.05541	3.67833	-70.34562	-9.142972	0.0	67500	950.2022933959961
27	-45.98	-45.98	-50.0	-9.035006	17.919483	5.7428665	-66.820015	-9.03452	0.0	70000	985.6574368476868
28	-48.1	-48.1	-50.0	-9.065029	17.94602	3.6800382	-60.82791	-9.064702	0.0	72500	1021.5321581363678
29	-48.82	-48.82	-50.0	-9.0318365	17.87635	5.3325253	-61.70082	-9.031776	0.0	75000	1056.952297925949
30	-49.0	-49.0	-50.0	-9.003459	17.809309	6.013057	-58.925755	-9.003686	0.0	77500	1092.2381064891815
31	-49.38	-49.38	-45.0	-9.076199	17.850721	5.114614	-61.755882	-9.076581	0.1	80000	1128.3817920684814
32	-49.96	-49.96	-45.0	-9.171912	17.938482	6.7843676	-59.936954	-9.172473	0.1	82500	1164.8338174819946
33	-46.8	-46.8	-50.0	-9.187261	17.964289	8.269668	-59.32976	-9.187727	0.0	85000	1200.5183279514313
34	-47.98	-47.98	-50.0	-9.192832	18.000814	5.150773	-61.984333	-9.193367	0.0	87500	1236.566312789917
35	-49.9	-49.9	-45.0	-9.273183	18.084726	4.3362803	-59.261017	-9.273108	0.1	90000	1272.3531126976013
36	-49.06	-49.06	-50.0	-9.285561	18.09051	3.7292175	-63.178795	-9.285958	0.0	92500	1307.6828618049622
37	-49.0	-49.0	-35.0	-9.324317	18.128468	4.4969482	-66.209946	-9.32383	0.3	95000	1343.1939978599548
38	-46.0	-46.0	-50.0	-9.303252	18.082752	4.887643	-63.89033	-9.303464	0.0	97500	1379.2538783550262
39	-49.1	-49.1	-44.600002	-9.304567	18.075333	3.6366549	-62.18183	-9.30485	0.1	100000	1415.251852273941
