Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
20	2.0848975	4.575408	20.05272	0.069476075	2.0848975	4.575408	20.05272	0.069476075	1.0766916	0.9146437	3.0181344	0.14791948	4199	57.081080198287964
40	2.6913605	4.5475817	21.604242	0.059667096	2.6913605	4.5475817	21.604242	0.059667096	15.256396	20.809122	60.469048	0.47330084	8199	104.85027360916138
60	4.795376	4.125855	13.044844	0.10234987	4.795376	4.125855	13.044844	0.10234987	6.6641946	7.6378694	22.915419	0.99199235	12199	154.45294976234436
80	12.11518	17.985973	77.34617	0.2026212	12.11518	17.985973	77.34617	0.2026212	6.3467326	3.560436	11.863811	0.8137655	16199	203.02403211593628
100	39.770016	34.284615	127.630035	2.9646745	39.770016	34.284615	127.630035	2.9646745	26.817171	11.9150715	50.73251	15.707993	20199	248.68387246131897
120	101.91523	43.13247	172.49234	25.481762	101.91523	43.13247	172.49234	25.481762	151.10625	33.985188	188.00674	83.156204	24199	294.42704153060913
140	139.12158	32.399124	180.85936	68.28654	139.12158	32.399124	180.85936	68.28654	130.31795	19.441156	156.46451	94.73041	28199	340.2424590587616
160	154.04268	20.667511	177.58815	117.36745	154.04268	20.667511	177.58815	117.36745	139.35419	23.517069	170.62546	101.74831	32199	386.79917907714844
180	161.02686	15.437198	186.1671	124.09705	161.02686	15.437198	186.1671	124.09705	150.3756	16.333988	168.9143	119.51415	36199	432.95568013191223
200	156.59698	17.878338	181.54018	123.41988	156.59698	17.878338	181.54018	123.41988	178.71736	6.00653	185.15411	169.36116	40199	479.5552065372467
220	167.90485	11.100663	182.48586	145.70595	167.90485	11.100663	182.48586	145.70595	154.8777	20.004759	185.44504	123.27981	44199	526.7379031181335
240	165.52354	9.306046	177.12766	142.16496	165.52354	9.306046	177.12766	142.16496	158.662	8.19079	171.9257	148.10556	48199	573.3572573661804
260	170.12361	7.320363	180.64928	153.35818	170.12361	7.320363	180.64928	153.35818	152.9051	14.5985155	169.11319	132.61963	52199	619.5902917385101
280	169.61282	8.076781	182.98076	156.64528	169.61282	8.076781	182.98076	156.64528	156.31767	10.767421	175.5325	141.8456	56199	666.1653566360474
300	166.59001	12.050637	179.0241	136.4334	166.59001	12.050637	179.0241	136.4334	179.64662	8.017837	193.54459	165.79547	60199	712.5983791351318
320	170.62363	8.177363	180.7237	152.18666	170.62363	8.177363	180.7237	152.18666	153.89531	5.1004987	160.75284	147.24492	64199	759.3393473625183
340	172.8706	6.5965657	184.30739	161.13028	172.8706	6.5965657	184.30739	161.13028	166.69337	2.5919724	171.85005	163.75488	68199	805.8463807106018
360	171.54031	6.4755735	179.80371	154.05515	171.54031	6.4755735	179.80371	154.05515	159.77238	5.965009	171.69777	152.00201	72199	852.675740480423
380	173.26662	5.707119	180.55649	156.74582	173.26662	5.707119	180.55649	156.74582	143.54199	4.614444	149.13829	137.31921	76199	898.7118654251099
400	169.1406	7.5105324	182.70059	155.75713	169.1406	7.5105324	182.70059	155.75713	152.62163	4.0216565	160.05315	148.8471	80199	944.4132988452911
420	173.00267	9.759878	185.50821	141.38995	173.00267	9.759878	185.50821	141.38995	144.02208	3.8305292	151.48537	139.51347	84199	990.4239938259125
440	172.95708	6.9280806	183.6231	159.05122	172.95708	6.9280806	183.6231	159.05122	174.17137	4.9360485	180.24718	166.41486	88199	1036.7313342094421
460	173.18143	7.3269124	183.68376	155.6606	173.18143	7.3269124	183.68376	155.6606	167.2513	2.3036532	172.16692	165.12866	92199	1082.6552958488464
480	175.42001	5.005671	182.37401	162.19582	175.42001	5.005671	182.37401	162.19582	161.34712	2.8329005	164.60356	156.88043	96199	1128.6913521289825
500	169.43663	7.266374	181.988	154.91057	169.43663	7.266374	181.988	154.91057	181.04164	3.6935651	185.86374	175.54596	100199	1174.8529424667358
520	138.37251	59.329117	184.96141	1.1610146	138.37251	59.329117	184.96141	1.1610146	140.24968	10.914394	161.18988	125.77292	104199	1222.6554172039032
540	168.0879	8.115603	178.22783	146.87788	168.0879	8.115603	178.22783	146.87788	178.47742	6.607872	186.88554	166.03963	108199	1268.9828789234161
560	172.99174	5.767053	179.69385	155.24512	172.99174	5.767053	179.69385	155.24512	138.17668	4.804974	144.00987	129.40268	112199	1315.3438169956207
580	164.62541	9.397859	180.34216	140.96599	164.62541	9.397859	180.34216	140.96599	137.47389	7.8034925	151.6672	126.914345	116199	1361.5078997612
600	172.06985	6.5574584	180.9326	159.22824	172.06985	6.5574584	180.9326	159.22824	174.09718	3.6664615	179.70259	167.33728	120199	1407.8582816123962
620	172.9026	6.264074	183.5524	159.74721	172.9026	6.264074	183.5524	159.74721	163.49718	1.3032237	164.99544	160.9804	124199	1454.1316859722137
640	173.83923	4.487182	184.58652	167.17416	173.83923	4.487182	184.58652	167.17416	180.03346	5.600762	191.93813	174.54865	128199	1499.708609342575
660	172.41852	4.8761888	182.17354	161.70361	172.41852	4.8761888	182.17354	161.70361	150.58081	6.384317	162.99223	143.83983	132199	1545.1699130535126
680	172.46983	3.9789276	180.34474	165.56032	172.46983	3.9789276	180.34474	165.56032	156.03589	1.7652614	159.4366	154.18861	136199	1590.856086730957
700	169.37842	6.5050774	178.51678	156.27571	169.37842	6.5050774	178.51678	156.27571	113.715614	28.010923	140.62766	67.80222	140199	1637.113149881363
720	167.65173	20.800758	181.40164	79.29859	167.65173	20.800758	181.40164	79.29859	174.88914	4.062091	183.4244	170.92552	144199	1682.8834371566772
740	174.29721	5.905603	187.0696	162.17279	174.29721	5.905603	187.0696	162.17279	178.65764	4.323396	187.81372	174.41257	148199	1729.3369374275208
760	172.10426	5.928251	180.22423	154.68497	172.10426	5.928251	180.22423	154.68497	170.09235	8.233621	179.65527	153.4242	152199	1775.872706413269
780	173.0369	5.387825	180.92987	155.94376	173.0369	5.387825	180.92987	155.94376	166.73888	7.3610597	179.89903	154.53413	156199	1821.9900307655334
800	173.80313	5.117639	182.74538	162.7777	173.80313	5.117639	182.74538	162.7777	181.25542	4.6744375	186.24597	171.73668	160199	1868.13125705719
820	173.61801	6.5341964	183.81006	157.74632	173.61801	6.5341964	183.81006	157.74632	168.42705	3.0867624	171.8749	162.49382	164199	1914.0751349925995
840	174.13637	7.047737	184.63867	152.86024	174.13637	7.047737	184.63867	152.86024	183.7455	3.4304235	188.08868	178.87292	168199	1960.8829398155212
860	174.71454	3.533443	180.77318	168.20929	174.71454	3.533443	180.77318	168.20929	165.50206	2.870904	171.2409	162.1414	172199	2007.1360440254211
880	175.518	4.834101	182.05595	164.63383	175.518	4.834101	182.05595	164.63383	159.11888	9.063638	178.3017	150.03093	176199	2053.577589035034
900	174.17758	5.635999	183.08826	161.91406	174.17758	5.635999	183.08826	161.91406	158.27003	2.3407395	161.18428	153.88835	180199	2099.440858364105
920	174.61253	4.244215	181.05511	162.89313	174.61253	4.244215	181.05511	162.89313	176.13255	2.6561723	180.59598	171.79337	184199	2145.9964275360107
940	174.22496	7.3887568	182.34238	153.22452	174.22496	7.3887568	182.34238	153.22452	158.08406	1.7710078	160.71864	154.79506	188199	2191.2636291980743
960	175.1093	6.6921525	184.21024	158.21509	175.1093	6.6921525	184.21024	158.21509	140.94084	1.6492192	144.04222	139.01521	192199	2237.1383817195892
980	172.6992	6.6041327	181.55951	149.62003	172.6992	6.6041327	181.55951	149.62003	125.70028	2.9991808	131.59445	122.038734	196199	2282.7423508167267
1000	174.40051	4.863835	188.52539	166.22723	174.40051	4.863835	188.52539	166.22723	151.98949	3.3448446	156.84038	145.939	200199	2328.3129885196686
1020	173.66057	6.792239	184.72601	158.29865	173.66057	6.792239	184.72601	158.29865	161.59764	5.215993	169.3869	155.61617	204199	2375.249253511429
1040	173.73454	4.9919815	184.91245	162.38525	173.73454	4.9919815	184.91245	162.38525	160.72766	1.5579313	162.28119	158.12291	208199	2422.105283975601
1060	173.27037	4.419488	179.87679	165.81029	173.27037	4.419488	179.87679	165.81029	154.7939	2.6432219	158.61617	151.1466	212199	2469.0807201862335
1080	175.92807	2.855324	180.65167	170.39845	175.92807	2.855324	180.65167	170.39845	162.83827	9.042414	170.43654	143.25238	216199	2515.8280918598175
1100	173.00905	5.6319904	179.61282	161.15326	173.00905	5.6319904	179.61282	161.15326	182.32445	3.4091294	186.30348	175.31537	220199	2562.0039341449738
1120	174.03372	3.2130742	179.43974	167.67537	174.03372	3.2130742	179.43974	167.67537	176.8346	1.0130026	177.89307	174.83241	224199	2607.953499317169
1140	174.36191	4.966216	180.7609	158.9507	174.36191	4.966216	180.7609	158.9507	144.07002	6.2691054	156.49805	135.84497	228199	2654.5752654075623
1160	173.83752	4.368855	180.12086	162.32138	173.83752	4.368855	180.12086	162.32138	174.36018	2.1358712	176.36523	169.86061	232199	2700.4657330513
1180	173.80904	5.2245364	180.62988	161.28581	173.80904	5.2245364	180.62988	161.28581	171.90967	1.7921399	174.39189	169.0827	236199	2746.6086602211
1200	176.61787	3.380415	181.96196	168.44365	176.61787	3.380415	181.96196	168.44365	176.49565	2.2587788	178.10825	171.57498	240199	2793.1451621055603
1220	174.63922	5.029858	180.47678	164.14929	174.63922	5.029858	180.47678	164.14929	186.77873	3.3802817	190.05698	180.02545	244199	2839.464276075363
1240	172.72449	3.5598388	177.88023	164.85583	172.72449	3.5598388	177.88023	164.85583	171.60686	3.0112875	175.53146	167.5015	248199	2886.039111852646
1260	171.44907	6.193073	180.18327	158.01372	171.44907	6.193073	180.18327	158.01372	163.88725	4.317556	167.42374	154.54237	252199	2932.7269036769867
1280	175.73795	3.8964899	181.62611	165.62709	175.73795	3.8964899	181.62611	165.62709	146.87822	6.8602357	151.99898	131.91669	256199	2979.600337266922
1300	174.56769	4.505704	182.96426	161.48878	174.56769	4.505704	182.96426	161.48878	140.6617	3.7680109	148.36865	137.11183	260199	3027.1076407432556
1320	173.94992	5.6576204	181.76268	161.7849	173.94992	5.6576204	181.76268	161.7849	175.73936	4.0572653	180.12775	168.33328	264199	3073.94909119606
1340	173.30188	4.8326797	181.35283	158.03015	173.30188	4.8326797	181.35283	158.03015	157.44435	1.9085617	159.93484	154.74393	268199	3119.875741481781
1360	172.5792	4.864034	180.08391	165.1854	172.5792	4.864034	180.08391	165.1854	149.96584	2.4168048	153.72893	147.09087	272199	3166.7627358436584
1380	176.2526	3.2465107	183.48103	171.29631	176.2526	3.2465107	183.48103	171.29631	165.60228	8.818562	184.44817	158.64642	276199	3213.6679837703705
1400	174.88098	5.232684	183.90149	161.86876	174.88098	5.232684	183.90149	161.86876	162.48885	1.8267268	164.45859	158.85316	280199	3260.3679280281067
1420	175.56558	3.4760988	182.68817	167.25394	175.56558	3.4760988	182.68817	167.25394	172.34282	5.2660394	177.47926	161.20634	284199	3307.02646112442
1440	175.84099	4.439708	185.8863	167.49161	175.84099	4.439708	185.8863	167.49161	165.64122	2.3897767	169.26973	161.40419	288199	3353.8125088214874
1460	173.69443	5.7524776	185.11484	161.55049	173.69443	5.7524776	185.11484	161.55049	173.01746	1.9562738	176.32877	170.19792	292199	3399.908444881439
1480	175.463	5.080404	182.06099	163.08366	175.463	5.080404	182.06099	163.08366	160.1416	5.3600874	166.27844	150.20905	296199	3446.006642103195
1500	174.62784	5.2553673	180.0342	159.78479	174.62784	5.2553673	180.0342	159.78479	161.31517	1.417501	163.54726	159.32826	300199	3492.119921207428
1520	175.3291	3.4042542	180.41153	165.57214	175.3291	3.4042542	180.41153	165.57214	168.49597	3.028139	172.608	162.85233	304199	3538.996430873871
1540	175.11275	4.59233	179.75278	158.18042	175.11275	4.59233	179.75278	158.18042	154.22435	3.074658	156.7104	147.61679	308199	3585.686311006546
1560	175.71112	5.977882	184.06116	164.58698	175.71112	5.977882	184.06116	164.58698	166.06757	1.3815727	167.60068	163.46098	312199	3632.9193131923676
1580	175.60136	3.031112	179.91808	168.10991	175.60136	3.031112	179.91808	168.10991	152.35072	0.8740695	153.9565	150.96944	316199	3679.3522305488586
1600	173.63919	3.3787901	178.93092	163.3193	173.63919	3.3787901	178.93092	163.3193	154.26262	7.9172683	170.61288	145.77867	320199	3725.184177160263
1620	174.7305	3.7238173	179.81741	166.2717	174.7305	3.7238173	179.81741	166.2717	171.54826	4.32496	178.089	164.45833	324199	3772.1641161441803
1640	174.08994	2.9150283	179.32245	167.81001	174.08994	2.9150283	179.32245	167.81001	155.61479	3.7249453	163.47958	151.71318	328199	3818.348615884781
1660	174.45268	3.8586626	180.53947	166.69438	174.45268	3.8586626	180.53947	166.69438	168.66917	1.5802791	171.21066	166.28589	332199	3864.632536649704
1680	174.31114	5.4970055	181.52664	162.72171	174.31114	5.4970055	181.52664	162.72171	140.79408	4.7701716	150.60258	136.28735	336199	3911.6082360744476
1700	174.68372	4.9609375	181.58165	158.917	174.68372	4.9609375	181.58165	158.917	156.8741	2.8492968	160.82153	151.95897	340199	3958.128694295883
1720	175.80136	4.6995964	182.81007	167.28358	175.80136	4.6995964	182.81007	167.28358	147.3239	1.9086384	151.36502	145.72876	344199	4004.515367746353
1740	174.51184	4.8359365	181.16844	159.83093	174.51184	4.8359365	181.16844	159.83093	147.12022	2.8294957	150.20033	141.25298	348199	4050.5029039382935
1760	174.93613	3.1066587	182.19048	169.68042	174.93613	3.1066587	182.19048	169.68042	146.8961	3.73015	150.21196	138.92851	352199	4096.2449741363525
1780	175.3378	4.6307163	184.45206	164.42796	175.3378	4.6307163	184.45206	164.42796	171.65742	4.09603	179.77675	166.06192	356199	4142.736152887344
1800	174.40968	3.2379456	181.3141	168.18723	174.40968	3.2379456	181.3141	168.18723	154.5404	2.2349284	158.27133	151.15302	360199	4190.748321294785
1820	176.13925	4.3835554	183.32565	169.85852	176.13925	4.3835554	183.32565	169.85852	150.75105	3.231152	154.83403	144.87927	364199	4238.919990301132
1840	175.96318	3.888133	182.24872	169.16077	175.96318	3.888133	182.24872	169.16077	161.6703	1.0314429	163.41449	159.84314	368199	4287.100600242615
1860	175.42924	4.488432	182.46083	165.82776	175.42924	4.488432	182.46083	165.82776	181.04218	1.1687151	183.25952	179.6103	372199	4335.052104234695
1880	173.64488	4.456998	182.02077	164.73363	173.64488	4.456998	182.02077	164.73363	159.60497	2.7132435	164.15123	154.93073	376199	4383.248034000397
1900	175.4701	3.7167175	180.29861	165.22745	175.4701	3.7167175	180.29861	165.22745	163.2458	2.5375402	167.9359	159.8574	380199	4431.186588525772
1920	175.86874	4.426096	184.20267	166.72255	175.86874	4.426096	184.20267	166.72255	162.19269	1.1725742	163.32683	160.05812	384199	4478.137793540955
1940	176.58752	3.6090431	182.39499	168.7284	176.58752	3.6090431	182.39499	168.7284	174.30806	2.2803893	178.37526	170.52188	388199	4525.631749629974
1960	174.15044	4.262449	182.05096	164.41508	174.15044	4.262449	182.05096	164.41508	168.70131	2.660946	172.95432	165.50531	392199	4573.146131277084
1980	176.4294	3.057672	183.50583	168.79976	176.4294	3.057672	183.50583	168.79976	163.16518	3.6447506	170.07793	157.69374	396199	4621.509242296219
2000	175.38266	5.1495657	182.99516	157.1332	175.38266	5.1495657	182.99516	157.1332	177.4828	2.6055038	181.30783	172.96422	400199	4669.977570056915
2020	177.6698	3.250455	184.41324	171.19525	177.6698	3.250455	184.41324	171.19525	171.97704	2.177281	175.92088	168.58531	404199	4717.366650104523
2040	177.71863	2.4947555	181.90677	171.4508	177.71863	2.4947555	181.90677	171.4508	171.92647	2.673957	177.08531	168.13036	408199	4764.818466663361
2060	178.83961	3.5057702	183.96674	169.21466	178.83961	3.5057702	183.96674	169.21466	162.81606	1.9565293	165.58205	159.04648	412199	4816.041803121567
2080	179.61234	2.765368	185.89731	174.81683	179.61234	2.765368	185.89731	174.81683	172.1049	1.9797884	174.62135	169.32191	416199	4865.532587528229
2100	177.66312	4.4228926	183.66849	162.57642	177.66312	4.4228926	183.66849	162.57642	170.2835	2.0642548	172.88086	166.37108	420199	4913.957377195358
2120	178.88884	2.5572205	186.74574	175.83017	178.88884	2.5572205	186.74574	175.83017	166.63322	3.216602	169.1831	159.67361	424199	4963.017161607742
2140	178.54791	3.364178	187.61931	172.825	178.54791	3.364178	187.61931	172.825	175.50233	1.5971982	177.24083	172.74281	428199	5011.766296625137
2160	178.40358	2.4840004	183.24274	173.25671	178.40358	2.4840004	183.24274	173.25671	165.68852	2.2980208	169.56187	162.32227	432199	5060.207899808884
2180	178.71533	2.4868107	181.93544	171.1256	178.71533	2.4868107	181.93544	171.1256	163.13875	0.3698823	163.77362	162.6115	436199	5107.947115182877
2200	178.5683	1.7891933	183.17345	175.3157	178.5683	1.7891933	183.17345	175.3157	164.49297	6.1172204	170.85385	151.64696	440199	5156.702331781387
2220	179.50302	2.600993	183.79175	173.8982	179.50302	2.600993	183.79175	173.8982	177.71797	0.6464382	178.64989	176.86174	444199	5204.664819717407
2240	178.06833	2.5956395	183.82925	172.33578	178.06833	2.5956395	183.82925	172.33578	169.66838	1.5216755	172.71767	167.75563	448199	5252.626344203949
2260	178.49467	3.7144556	184.52043	168.25807	178.49467	3.7144556	184.52043	168.25807	169.72536	0.764889	171.31245	168.94185	452199	5300.672134876251
