Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
660	0.81431997	0.8660232	3.3469763	0.080439135	0.81431997	0.8660232	3.3469763	0.080439135	0.8844134	0.57793593	2.0400472	0.21506636	132199	1618.1209700107574
680	0.84895813	0.78464437	2.7446961	0.05341926	0.84895813	0.78464437	2.7446961	0.05341926	0.58089525	0.39876792	1.423948	0.21851733	136199	1667.244898557663
700	0.5784613	0.60264236	2.3964102	0.034524195	0.5784613	0.60264236	2.3964102	0.034524195	1.0010356	1.600106	4.5061355	0.083998725	140199	1716.118816614151
720	1.2517643	1.7179369	6.8693533	0.036139477	1.2517643	1.7179369	6.8693533	0.036139477	0.5902322	0.71843785	2.1545794	0.091860056	144199	1765.1041040420532
740	1.1619713	1.2761589	4.5820985	0.093020104	1.1619713	1.2761589	4.5820985	0.093020104	1.0252143	0.81337464	2.4946256	0.11473983	148199	1814.5790598392487
760	0.86976975	0.6315047	2.2659616	0.047579143	0.86976975	0.6315047	2.2659616	0.047579143	0.4613078	0.35034147	1.0660851	0.050150327	152199	1863.7133181095123
780	1.0332903	1.184567	4.1045513	0.1161179	1.0332903	1.184567	4.1045513	0.1161179	0.72562414	0.40632716	1.1944344	0.12854004	156199	1912.8475773334503
800	0.60709536	0.76293606	3.046794	0.0749743	0.60709536	0.76293606	3.046794	0.0749743	0.34460518	0.19786106	0.65004355	0.11905543	160199	1962.028966665268
820	0.9598343	1.2405579	4.332159	0.118265845	0.9598343	1.2405579	4.332159	0.118265845	0.88561577	0.47695753	1.7545898	0.25902936	164199	2011.130249261856
840	1.0385705	1.2141585	3.9878163	0.08660132	1.0385705	1.2141585	3.9878163	0.08660132	0.7759602	0.79820853	2.513974	0.2368007	168199	2059.9621183872223
860	1.5733759	2.2392237	7.357726	0.04830412	1.5733759	2.2392237	7.357726	0.04830412	0.6700528	0.42779425	1.5970428	0.36899376	172199	2109.0631408691406
880	1.0637424	1.647163	6.042499	0.08264617	1.0637424	1.647163	6.042499	0.08264617	0.6189731	0.6173532	1.9067143	0.08451306	176199	2157.7717978954315
900	1.0400556	0.97576267	3.7368772	0.17476177	1.0400556	0.97576267	3.7368772	0.17476177	0.22971046	0.0716687	0.35379824	0.13565677	180199	2206.346535921097
920	1.0954247	1.3896607	5.6732187	0.101122946	1.0954247	1.3896607	5.6732187	0.101122946	1.4304761	2.1853054	6.202761	0.030423718	184199	2255.219109773636
940	1.8037754	2.4122765	8.633776	0.038884528	1.8037754	2.4122765	8.633776	0.038884528	0.17773277	0.117439285	0.3928923	0.036215995	188199	2304.3450531959534
960	1.4734523	2.0265503	7.098347	0.048817027	1.4734523	2.0265503	7.098347	0.048817027	2.4038393	2.5291567	7.359928	0.17389353	192199	2353.505006790161
980	1.0366869	1.2488246	5.4512935	0.097447805	1.0366869	1.2488246	5.4512935	0.097447805	1.2229961	1.2092472	3.4639254	0.0772534	196199	2402.3722174167633
1000	1.1024368	1.6493037	7.1810517	0.085234426	1.1024368	1.6493037	7.1810517	0.085234426	0.82381934	0.5971668	1.860253	0.11834121	200199	2451.505734682083
1020	1.1422441	1.647445	5.8957276	0.061610606	1.1422441	1.647445	5.8957276	0.061610606	1.3214658	1.1445968	3.1193554	0.103163876	204199	2500.632577419281
